Altium Designer Pick and Place Locations
C:\Users\maxam\Documents\GIT\03_skola\boomchecker-monorepo\hw\node\v0.1\Project Outputs for bch-stmnode_v0.1\bom_boomchecker-stmnode_v0.1\cpm_bch-stmnode_v0.1.csv

========================================================================================================================
File Design Information:

Date:       14.07.26
Time:       23:57
Revision:   c991fa08a9a7a0822b2168fcd67a520433ebefee
Variant:    stmnode
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Y2","TopLayer","830009709","45.3136","28.7020","0","Crystals WE-XTAL 32.768 kHz 7pF 70kOhms"
"C47","TopLayer","CBR04C160F5GAC","44.5516","26.9494","0","25V 8pF C0G 0402 0.25pF"
"C37","TopLayer","CBR04C160F5GAC","47.0662","26.9494","180","25V 8pF C0G 0402 0.25pF"
"C6","TopLayer","CAPC1608X95N","24.6380","67.6910","90","16V 0.1uF XR7 0603 10%"
"C5","TopLayer","CAPC1608X95N","54.8246","53.6830","180","16V 0.1uF XR7 0603 10%"
"U16","BottomLayer","AIMS_LOGO","-406.4000","-320.8020","180",""
"U15","BottomLayer","PCB_INFO","-406.4000","-320.8020","270",""
"U14","BottomLayer","FEL_LOGO_MED","-406.4000","-320.8020","180",""
"M4","BottomLayer","MountingHole_3.0mm_NPTH","85.0000","25.0000","180",""
"M3","BottomLayer","MountingHole_3.0mm_NPTH","85.0000","75.0000","180",""
"M2","BottomLayer","MountingHole_3.0mm_NPTH","15.0000","75.0000","180",""
"M1","BottomLayer","MountingHole_3.0mm_NPTH","15.0000","25.0000","180",""
"U11","TopLayer","SOIC127P600X175-8N","20.5740","63.3730","0","Operational Amplifiers - Op Amps Dual-channel low-po wer precision 50-M"
"R6","TopLayer","RESC1608X55N","26.4160","65.4050","180","Thick Film Resistors - SMD 1/8 Watt 220Kohms 1%"
"R2","TopLayer","RESC1608X55N","15.2400","66.6750","0","Thick Film Resistors - SMD 1/8 Watt 220Kohms 1%"
"C8","TopLayer","CAPC1005X55N","39.9542","80.4672","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 120 pF 50 VDC 5% 0402 C0G (NP0) AEC-Q200"
"C2","TopLayer","CAPC1005X55N","39.4970","83.3120","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 120 pF 50 VDC 5% 0402 C0G (NP0) AEC-Q200"
