recording_id,event_id,class_id,split3
0001_0850s_shot_015_ch1,0001_0850s_shot_015,1,train
0001_0850s_shot_015_ch2,0001_0850s_shot_015,1,train
0001_0850s_shot_015_ch3,0001_0850s_shot_015,1,train
0001_0850s_shot_015_ch4,0001_0850s_shot_015,1,train
0002_0724s_shot_004_ch1,0002_0724s_shot_004,1,train
0002_0724s_shot_004_ch2,0002_0724s_shot_004,1,train
0002_0724s_shot_004_ch3,0002_0724s_shot_004,1,train
0002_0724s_shot_004_ch4,0002_0724s_shot_004,1,train
0002_0726s_shot_006_ch1,0002_0726s_shot_006,1,train
0002_0726s_shot_006_ch2,0002_0726s_shot_006,1,train
0002_0726s_shot_006_ch3,0002_0726s_shot_006,1,train
0002_0726s_shot_006_ch4,0002_0726s_shot_006,1,train
0002_0737s_shot_009_ch1,0002_0737s_shot_009,1,train
0002_0737s_shot_009_ch2,0002_0737s_shot_009,1,train
0002_0737s_shot_009_ch3,0002_0737s_shot_009,1,train
0002_0737s_shot_009_ch4,0002_0737s_shot_009,1,train
0002_0748s_shot_011_ch1,0002_0748s_shot_011,1,val
0002_0750s_shot_012_ch1,0002_0750s_shot_012,1,train
0002_0750s_shot_012_ch2,0002_0750s_shot_012,1,train
0002_0750s_shot_012_ch3,0002_0750s_shot_012,1,train
0002_0750s_shot_012_ch4,0002_0750s_shot_012,1,train
0002_0756s_shot_013_ch1,0002_0756s_shot_013,1,train
0002_0756s_shot_013_ch2,0002_0756s_shot_013,1,train
0002_0756s_shot_013_ch3,0002_0756s_shot_013,1,train
0002_0756s_shot_013_ch4,0002_0756s_shot_013,1,train
0002_0764s_shot_017_ch1,0002_0764s_shot_017,1,train
0002_0764s_shot_017_ch2,0002_0764s_shot_017,1,train
0002_0764s_shot_017_ch3,0002_0764s_shot_017,1,train
0002_0764s_shot_017_ch4,0002_0764s_shot_017,1,train
0002_0780s_shot_019_ch1,0002_0780s_shot_019,1,train
0002_0780s_shot_019_ch2,0002_0780s_shot_019,1,train
0002_0780s_shot_019_ch3,0002_0780s_shot_019,1,train
0002_0780s_shot_019_ch4,0002_0780s_shot_019,1,train
0002_0807s_shot_021_ch1,0002_0807s_shot_021,1,train
0002_0807s_shot_021_ch2,0002_0807s_shot_021,1,train
0002_0807s_shot_021_ch3,0002_0807s_shot_021,1,train
0002_0807s_shot_021_ch4,0002_0807s_shot_021,1,train
0003_0372s_shot_003_ch1,0003_0372s_shot_003,1,train
0003_0372s_shot_003_ch2,0003_0372s_shot_003,1,train
0003_0372s_shot_003_ch3,0003_0372s_shot_003,1,train
0003_0372s_shot_003_ch4,0003_0372s_shot_003,1,train
0003_0373s_shot_005_ch1,0003_0373s_shot_005,1,train
0003_0373s_shot_005_ch2,0003_0373s_shot_005,1,train
