arm,mode,variant,scope,acc,prec,rec,f1,mcc,mcc_std,n
wf,retrained-wf float32,clean,full,0.9608899297423887,0.7526573017266608,0.9714285714285714,0.8216849135919978,0.8257644384983837,0.15407338741627372,25
wf,retrained-wf float32,clean,test,0.9578947368421052,0.7504954304954304,0.9538461538461539,0.8101894918173987,0.8138049144112446,0.15550467577843924,25
wf,retrained-wf float32,noise_snr10db,full,0.9472599531615926,0.7123663383090638,0.9809523809523809,0.7902882700052207,0.7979191302515599,0.18655610457983168,25
wf,retrained-wf float32,noise_snr10db,test,0.9459649122807018,0.715408266991284,0.9692307692307692,0.7857901895020436,0.7928737741100284,0.18059934741557582,25
wf,retrained-wf float32,noise_snr20db,full,0.957096018735363,0.750859054766209,0.9657142857142857,0.8124297312522524,0.8180994306738402,0.16587056045024326,25
wf,retrained-wf float32,noise_snr20db,test,0.9571929824561403,0.7750096697682904,0.9292307692307692,0.8026083698448986,0.8102055003902455,0.16362201050282507,25
wf,retrained-wf float32,noise_snr30db,full,0.9591569086651055,0.7594915091553402,0.958095238095238,0.8153767473012361,0.8204698966151962,0.15721649199647997,25
wf,retrained-wf float32,noise_snr30db,test,0.9567251461988303,0.767989417989418,0.9261538461538461,0.7975207134413033,0.8048474168495667,0.15669226805185477,25
wf,retrained-wf float32,noise_snr5db,full,0.9439344262295082,0.711488800650201,0.9714285714285714,0.7842577584434998,0.7908585548787073,0.20707886750468513,25
wf,retrained-wf float32,noise_snr5db,test,0.9445614035087719,0.7222674874145463,0.9784615384615385,0.7929590463460944,0.8001494026970924,0.2072842980081195,25
wf,retrained-wf int8,clean,full,0.9377049180327869,0.590825358579774,1.0,0.7271644175105035,0.7361802966992661,0.13020336096760524,25
wf,retrained-wf int8,clean,test,0.9403508771929825,0.6286772486772487,1.0,0.7501673434231573,0.7583521056693727,0.15487717095532544,25
wf,retrained-wf int8,noise_snr10db,full,0.8814988290398127,0.39074619607352923,1.0,0.559782663043399,0.5829258134690373,0.050198074479687375,25
wf,retrained-wf int8,noise_snr10db,test,0.87953216374269,0.39534032845512196,1.0,0.5640600141115955,0.5853694117817768,0.05526923591472169,25
wf,retrained-wf int8,noise_snr20db,full,0.9121779859484778,0.4721558415191751,0.9993650793650793,0.6363208833278324,0.6515417611462487,0.07390193616932686,25
wf,retrained-wf int8,noise_snr20db,test,0.9162573099415203,0.49695180125395305,1.0,0.6570784669838992,0.6695745859930001,0.08679257707121944,25
wf,retrained-wf int8,noise_snr30db,full,0.9301639344262296,0.5526229165079131,0.9993650793650793,0.6986453298440649,0.709367895578384,0.11790928040319074,25
wf,retrained-wf int8,noise_snr30db,test,0.9345029239766082,0.581089020225176,1.0,0.7207970965535831,0.72920548759576,0.12450325460107191,25
wf,retrained-wf int8,noise_snr5db,full,0.8667915690866511,0.3646360128701254,0.994920634920635,0.5309815824722125,0.5558320264252086,0.05751368115106834,25
wf,retrained-wf int8,noise_snr5db,test,0.8657309941520468,0.37258233422667447,1.0,0.5393623020174476,0.5629886899814992,0.0645747038260477,25
