mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf float32,clean,42,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained-wf int8,clean,42,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,42,full,854,0.9121779859484778,0.45652173913043476,1.0,0.6268656716417911,0.6428342398675829
retrained-wf int8,noise_snr30db,42,full,854,0.9016393442622951,0.42857142857142855,1.0,0.6,0.6189179416187969
retrained-wf float32,noise_snr20db,42,full,854,0.9039812646370023,0.43448275862068964,1.0,0.6057692307692307,0.6240525317668685
retrained-wf int8,noise_snr20db,42,full,854,0.8875878220140515,0.39622641509433965,1.0,0.5675675675675675,0.5900324172998338
retrained-wf float32,noise_snr10db,42,full,854,0.8864168618266979,0.39375,1.0,0.5650224215246636,0.5877623684533669
retrained-wf int8,noise_snr10db,42,full,854,0.860655737704918,0.34615384615384615,1.0,0.5142857142857142,0.5422892252406617
retrained-wf float32,noise_snr5db,42,full,854,0.8735362997658079,0.3684210526315789,1.0,0.5384615384615384,0.564019773244773
retrained-wf int8,noise_snr5db,42,full,854,0.8395784543325527,0.315,1.0,0.4790874524714829,0.5103356521703204
retrained-wf float32,clean,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,clean,42,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr30db,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,noise_snr30db,42,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr20db,42,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained-wf int8,noise_snr20db,42,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained-wf float32,noise_snr10db,42,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained-wf int8,noise_snr10db,42,test,171,0.8713450292397661,0.37142857142857144,1.0,0.5416666666666666,0.5654296322954411
retrained-wf float32,noise_snr5db,42,test,171,0.8830409356725146,0.3939393939393939,1.0,0.5652173913043478,0.5865779128735724
retrained-wf int8,noise_snr5db,42,test,171,0.8304093567251462,0.30952380952380953,1.0,0.4727272727272727,0.5027051595080577
retrained-wf float32,clean,43,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained-wf int8,clean,43,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,43,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained-wf int8,noise_snr30db,43,full,854,0.9039812646370023,0.43448275862068964,1.0,0.6057692307692307,0.6240525317668685
retrained-wf float32,noise_snr20db,43,full,854,0.905152224824356,0.4375,1.0,0.6086956521739131,0.6266570952636281
retrained-wf int8,noise_snr20db,43,full,854,0.8875878220140515,0.39622641509433965,1.0,0.5675675675675675,0.5900324172998338
retrained-wf float32,noise_snr10db,43,full,854,0.8782201405152225,0.3772455089820359,1.0,0.5478260869565217,0.5724033488443405
retrained-wf int8,noise_snr10db,43,full,854,0.8571428571428571,0.34054054054054056,1.0,0.5080645161290323,0.5366723588564848
retrained-wf float32,noise_snr5db,43,full,854,0.8747072599531616,0.37058823529411766,1.0,0.5407725321888412,0.566090182517169
retrained-wf int8,noise_snr5db,43,full,854,0.84192037470726,0.3181818181818182,1.0,0.4827586206896552,0.5136902911338201
retrained-wf float32,clean,43,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,clean,43,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr30db,43,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,noise_snr30db,43,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr20db,43,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained-wf int8,noise_snr20db,43,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained-wf float32,noise_snr10db,43,test,171,0.8771929824561403,0.38235294117647056,1.0,0.5531914893617021,0.5757897874871823
retrained-wf int8,noise_snr10db,43,test,171,0.8538011695906432,0.34210526315789475,1.0,0.5098039215686274,0.5366327268666194
retrained-wf float32,noise_snr5db,43,test,171,0.8771929824561403,0.38235294117647056,1.0,0.5531914893617021,0.5757897874871823
retrained-wf int8,noise_snr5db,43,test,171,0.8421052631578947,0.325,1.0,0.49056603773584906,0.5190973177704309
retrained-wf float32,clean,44,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained-wf int8,clean,44,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,44,full,854,0.9156908665105387,0.4666666666666667,1.0,0.6363636363636364,0.6512977741098707
retrained-wf int8,noise_snr30db,44,full,854,0.905152224824356,0.4375,1.0,0.6086956521739131,0.6266570952636281
retrained-wf float32,noise_snr20db,44,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf int8,noise_snr20db,44,full,854,0.8887587822014051,0.3987341772151899,1.0,0.5701357466063348,0.5923223352633242
retrained-wf float32,noise_snr10db,44,full,854,0.8840749414519906,0.3888888888888889,1.0,0.56,0.583280655017126
retrained-wf int8,noise_snr10db,44,full,854,0.8571428571428571,0.34054054054054056,1.0,0.5080645161290323,0.5366723588564848
retrained-wf float32,noise_snr5db,44,full,854,0.8770491803278688,0.375,1.0,0.5454545454545454,0.5702817189232467
retrained-wf int8,noise_snr5db,44,full,854,0.8407494145199064,0.3165829145728643,1.0,0.48091603053435117,0.5120072902713955
retrained-wf float32,clean,44,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,clean,44,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr30db,44,test,171,0.9122807017543859,0.4642857142857143,1.0,0.6341463414634146,0.648234491986011
retrained-wf int8,noise_snr30db,44,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained-wf float32,noise_snr20db,44,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained-wf int8,noise_snr20db,44,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained-wf float32,noise_snr10db,44,test,171,0.8830409356725146,0.3939393939393939,1.0,0.5652173913043478,0.5865779128735724
retrained-wf int8,noise_snr10db,44,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
retrained-wf float32,noise_snr5db,44,test,171,0.8771929824561403,0.38235294117647056,1.0,0.5531914893617021,0.5757897874871823
retrained-wf int8,noise_snr5db,44,test,171,0.8304093567251462,0.30952380952380953,1.0,0.4727272727272727,0.5027051595080577
retrained-wf float32,clean,45,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained-wf int8,clean,45,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,45,full,854,0.9133489461358314,0.45985401459854014,1.0,0.63,0.6456264693188698
retrained-wf int8,noise_snr30db,45,full,854,0.9039812646370023,0.43448275862068964,1.0,0.6057692307692307,0.6240525317668685
retrained-wf float32,noise_snr20db,45,full,854,0.9110070257611241,0.45323741007194246,1.0,0.6237623762376238,0.6400702673592317
retrained-wf int8,noise_snr20db,45,full,854,0.8946135831381733,0.4117647058823529,1.0,0.5833333333333334,0.6040812091398098
retrained-wf float32,noise_snr10db,45,full,854,0.8840749414519906,0.3888888888888889,1.0,0.56,0.583280655017126
retrained-wf int8,noise_snr10db,45,full,854,0.8559718969555035,0.3387096774193548,1.0,0.5060240963855421,0.5348275765915996
retrained-wf float32,noise_snr5db,45,full,854,0.8676814988290398,0.35795454545454547,1.0,0.5271966527196653,0.5539117094069973
retrained-wf int8,noise_snr5db,45,full,854,0.832552693208431,0.3058252427184466,1.0,0.4684014869888476,0.5005366996671884
retrained-wf float32,clean,45,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,clean,45,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr30db,45,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,noise_snr30db,45,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr20db,45,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,noise_snr20db,45,test,171,0.8947368421052632,0.41935483870967744,1.0,0.5909090909090909,0.6095738157363387
retrained-wf float32,noise_snr10db,45,test,171,0.8713450292397661,0.37142857142857144,1.0,0.5416666666666666,0.5654296322954411
retrained-wf int8,noise_snr10db,45,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
retrained-wf float32,noise_snr5db,45,test,171,0.8654970760233918,0.3611111111111111,1.0,0.5306122448979592,0.5554676442399399
retrained-wf int8,noise_snr5db,45,test,171,0.8245614035087719,0.3023255813953488,1.0,0.4642857142857143,0.49489593854786146
retrained-wf float32,clean,46,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained-wf int8,clean,46,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,46,full,854,0.9156908665105387,0.4666666666666667,1.0,0.6363636363636364,0.6512977741098707
retrained-wf int8,noise_snr30db,46,full,854,0.905152224824356,0.4375,1.0,0.6086956521739131,0.6266570952636281
retrained-wf float32,noise_snr20db,46,full,854,0.9074941451990632,0.44366197183098594,1.0,0.6146341463414634,0.6319429273223539
retrained-wf int8,noise_snr20db,46,full,854,0.8899297423887588,0.4012738853503185,1.0,0.5727272727272728,0.5946324365740635
retrained-wf float32,noise_snr10db,46,full,854,0.8887587822014051,0.3987341772151899,1.0,0.5701357466063348,0.5923223352633242
retrained-wf int8,noise_snr10db,46,full,854,0.860655737704918,0.34615384615384615,1.0,0.5142857142857142,0.5422892252406617
retrained-wf float32,noise_snr5db,46,full,854,0.8782201405152225,0.3772455089820359,1.0,0.5478260869565217,0.5724033488443405
retrained-wf int8,noise_snr5db,46,full,854,0.8384074941451991,0.31343283582089554,1.0,0.4772727272727273,0.5086752355983681
retrained-wf float32,clean,46,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,clean,46,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr30db,46,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf int8,noise_snr30db,46,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr20db,46,test,171,0.9122807017543859,0.4642857142857143,1.0,0.6341463414634146,0.648234491986011
retrained-wf int8,noise_snr20db,46,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained-wf float32,noise_snr10db,46,test,171,0.8947368421052632,0.41935483870967744,1.0,0.5909090909090909,0.6095738157363387
retrained-wf int8,noise_snr10db,46,test,171,0.8596491228070176,0.35135135135135137,1.0,0.52,0.5458768412651585
retrained-wf float32,noise_snr5db,46,test,171,0.8713450292397661,0.37142857142857144,1.0,0.5416666666666666,0.5654296322954411
retrained-wf int8,noise_snr5db,46,test,171,0.8421052631578947,0.325,1.0,0.49056603773584906,0.5190973177704309
