mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained-wf float32,clean,full,0.9988290398126465,0.0,1.0,0.0,0.984126984126984,0.0,0.992,0.0,0.9914052650410256,0.0,5
retrained-wf int8,clean,full,0.9871194379391101,0.0,0.8513513513513512,0.0,1.0,0.0,0.9197080291970803,0.0,0.9162489172982042,0.0,5
retrained-wf float32,noise_snr30db,full,0.9988290398126465,0.0,1.0,0.0,0.984126984126984,0.0,0.992,0.0,0.9914052650410256,0.0,5
retrained-wf int8,noise_snr30db,full,0.9852459016393442,0.0015710079467211697,0.8335429975429974,0.014768673684150031,1.0,0.0,0.9091589971437639,0.008792538338260825,0.9056618104443871,0.008806622633030538,5
retrained-wf float32,noise_snr20db,full,0.9978922716627634,0.0009796955814216392,0.9874007936507937,0.013103127133060838,0.984126984126984,0.0,0.9857263842019748,0.006542664634231216,0.9846103717461835,0.007077247023896632,5
retrained-wf int8,noise_snr20db,full,0.954566744730679,0.0020946772622948994,0.619009900990099,0.010626857714850495,1.0,0.0,0.7646341463414634,0.008180736503048017,0.7672158988927592,0.007526727986346212,5
retrained-wf float32,noise_snr10db,full,0.9903981264637002,0.0005236693155737291,0.8959834368530022,0.005740630004347291,0.984126984126984,0.0,0.9379813169286854,0.0031587198588514344,0.9340008120452697,0.0032729249016845738,5
retrained-wf int8,noise_snr10db,full,0.9103044496487118,0.003758034317536561,0.45147956387089705,0.010341236292078478,1.0,0.0,0.622039639063117,0.009827749688579183,0.6385380360320811,0.008751574638666711,5
retrained-wf float32,noise_snr5db,full,0.9908665105386417,0.004172957770774119,0.9030685882859796,0.04602859440352439,0.984126984126984,0.0,0.9413649131180446,0.025223647685703603,0.9377343549202543,0.02618183923044175,5
retrained-wf int8,noise_snr5db,full,0.892271662763466,0.005676440114070649,0.4067612308940107,0.012377024425167945,1.0,0.0,0.5782058962674885,0.012606565338110012,0.5995090478387213,0.011237601473603271,5
retrained-wf float32,clean,test,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5
retrained-wf int8,clean,test,0.9883040935672515,0.0,0.8666666666666668,0.0,1.0,0.0,0.9285714285714286,0.0,0.9250384870542661,0.0,5
retrained-wf float32,noise_snr30db,test,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5
retrained-wf int8,noise_snr30db,test,0.9871345029239766,0.0026152841842102532,0.8558333333333333,0.024224069756247746,1.0,0.0,0.9221674876847292,0.014319647146550407,0.9185886553127949,0.014422262217365582,5
retrained-wf float32,noise_snr20db,test,0.9988304093567251,0.0026152841842103113,0.9857142857142858,0.031943828249997,1.0,0.0,0.9925925925925926,0.01656346649999847,0.9921139655739146,0.01763370904963035,5
retrained-wf int8,noise_snr20db,test,0.9637426900584796,0.004892748693181739,0.6781286549707602,0.030002764255991164,1.0,0.0,0.8078934506353861,0.021173414213459817,0.8070469204552377,0.02002616425985773,5
retrained-wf float32,noise_snr10db,test,0.9894736842105264,0.0026152841842102376,0.8790476190476191,0.027684651149997415,1.0,0.0,0.9354497354497354,0.015380361749998545,0.9321447552173275,0.01589009867894799,5
retrained-wf int8,noise_snr10db,test,0.9087719298245613,0.00978549738636345,0.4558456486042693,0.027801761642883664,1.0,0.0,0.6258325905518192,0.025883787535276034,0.6408148905383599,0.02317679872496789,5
retrained-wf float32,noise_snr5db,test,0.9918128654970759,0.00784585255263087,0.9091666666666667,0.08581715057803616,1.0,0.0,0.9507389162561577,0.046830426950323974,0.9485732604910883,0.04875714634785946,5
retrained-wf int8,noise_snr5db,test,0.8970760233918128,0.010623334575780638,0.42605362379555933,0.02566981747456557,1.0,0.0,0.5971666154753283,0.025112669786343137,0.6151638466449053,0.022461899958087422,5
