mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC int8,clean,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC float32,30 dB,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC int8,30 dB,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC float32,20 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC int8,20 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC float32,10 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC int8,10 dB,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC float32,5 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC int8,5 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
