mode,snr_db,acc,prec,rec,f1,mcc,mcc_std,n
PC float32,10 dB,0.995952380952381,0.996,0.9359999999999999,0.9630175438596491,0.9625469388670628,0.049687055023363784,25
PC float32,20 dB,0.9969047619047618,1.0,0.948,0.9719298245614035,0.9714530202941719,0.039450967734141466,25
PC float32,30 dB,0.9961904761904762,0.9745454545454545,0.9640000000000001,0.9677192982456141,0.9665736559254873,0.025658802635258195,25
PC float32,5 dB,0.995,1.0,0.9159999999999999,0.9528998968008255,0.9531063756697968,0.06008252236243986,25
PC float32,clean,0.9952380952380954,0.9636363636363637,0.96,0.9598997493734336,0.9584543299807432,0.0213115300793471,25
PC int8,10 dB,0.995952380952381,0.9923636363636363,0.94,0.963451963241437,0.9628395941958747,0.04692245756025154,25
PC int8,20 dB,0.9961904761904762,0.989090909090909,0.948,0.9662155388471179,0.9655058818799442,0.03837787304728678,25
PC int8,30 dB,0.9952380952380954,0.9642424242424242,0.96,0.9600729095465939,0.9587020835105927,0.025113298794759625,25
PC int8,5 dB,0.9952380952380951,1.0,0.92,0.9550051599587204,0.9552785632003132,0.06078101266360121,25
PC int8,clean,0.9952380952380954,0.9636363636363637,0.96,0.9598997493734336,0.9584543299807432,0.0213115300793471,25
