arm,regime,snr,mcc_mean,mcc_std
1 jitter,PC float32,clean,0.8904896219919898,0.09499388901467201
1 jitter,PC float32,30 dB,0.8659977847628914,0.11605502419737145
1 jitter,PC float32,20 dB,0.6912694261416074,0.10126814998510619
1 jitter,PC float32,10 dB,0.44624168141383264,0.2167191851599484
1 jitter,PC float32,5 dB,0.36744302467480866,0.23598028337307891
2 jitter+wf,PC float32,clean,0.9792271649903717,0.02601116958019036
2 jitter+wf,PC float32,30 dB,0.9794749185202213,0.029023360245916643
2 jitter+wf,PC float32,20 dB,0.9859335356410281,0.02303911534467808
2 jitter+wf,PC float32,10 dB,0.9477153771771577,0.04580792626430631
2 jitter+wf,PC float32,5 dB,0.9447725932192865,0.04511074416492392
3 wf-only,PC float32,clean,1.0,0.0
3 wf-only,PC float32,30 dB,0.9978278124694836,0.010860937652582248
3 wf-only,PC float32,20 dB,0.9934834374084506,0.018010827532529333
3 wf-only,PC float32,10 dB,0.9736252078246883,0.03946866006580754
3 wf-only,PC float32,5 dB,0.9780724301554261,0.03558778471115446
1 jitter,PC int8,clean,0.8192046784864,0.09370405818419744
1 jitter,PC int8,30 dB,0.7744023757693725,0.1057773067351056
1 jitter,PC int8,20 dB,0.5645101487653827,0.049488790459454035
1 jitter,PC int8,10 dB,0.3678662864250197,0.1830981881396611
1 jitter,PC int8,5 dB,0.2985924863949123,0.20632684797668838
2 jitter+wf,PC int8,clean,0.9693152676333254,0.02563168866401296
2 jitter+wf,PC int8,30 dB,0.9477319640985128,0.04404716714362628
2 jitter+wf,PC int8,20 dB,0.9222979993938395,0.06855665383699268
2 jitter+wf,PC int8,10 dB,0.8513976362983875,0.07806632396460962
2 jitter+wf,PC int8,5 dB,0.8617257624252869,0.07004110229627311
3 wf-only,PC int8,clean,0.9900881026429538,0.020232575756336888
3 wf-only,PC int8,30 dB,0.9879159151124374,0.02196501491971933
3 wf-only,PC int8,20 dB,0.9915010579370415,0.019892774889886958
3 wf-only,PC int8,10 dB,0.9766594748613384,0.03522209217576254
3 wf-only,PC int8,5 dB,0.9757973953552049,0.03936167428344268
