mode,snr_db,acc,prec,rec,f1,mcc,mcc_std
PC float32,10 dB,0.9971428571428572,1.0,0.9520000000000001,0.9740350877192983,0.9736252078246883,0.03946866006580757
PC float32,20 dB,0.9992857142857143,1.0,0.988,0.9936842105263157,0.9934834374084507,0.01801082753252934
PC float32,30 dB,0.9997619047619049,1.0,0.996,0.9978947368421052,0.9978278124694836,0.010860937652582246
PC float32,5 dB,0.9976190476190476,1.0,0.96,0.9784795321637426,0.978072430155426,0.035587784711154466
PC float32,clean,1.0,1.0,1.0,1.0,1.0,0.0
PC int8,10 dB,0.9973809523809524,0.9854545454545455,0.972,0.9771762740183793,0.9766594748613384,0.03522209217576251
PC int8,20 dB,0.9990476190476191,0.9963636363636365,0.988,0.9917794486215539,0.9915010579370415,0.01989277488988693
PC int8,30 dB,0.9985714285714287,0.9818181818181819,0.996,0.9883709273182957,0.9879159151124374,0.021965014919719326
PC int8,5 dB,0.9973809523809524,1.0,0.956,0.976140350877193,0.9757973953552049,0.03936167428344272
PC int8,clean,0.9988095238095238,0.9818181818181819,1.0,0.9904761904761905,0.9900881026429539,0.02023257575633688
