mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf2 float32,clean,42,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,clean,42,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr30db,42,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,noise_snr30db,42,full,854,0.9953161592505855,0.9402985074626866,1.0,0.9692307692307692,0.9672349876485011
retrained-wf2 float32,noise_snr20db,42,full,854,0.9964871194379391,0.96875,0.9841269841269841,0.9763779527559056,0.9745158054012192
retrained-wf2 int8,noise_snr20db,42,full,854,0.9964871194379391,0.9545454545454546,1.0,0.9767441860465116,0.9751539268308755
retrained-wf2 float32,noise_snr10db,42,full,854,0.9976580796252927,1.0,0.9682539682539683,0.9838709677419355,0.9827573280377846
retrained-wf2 int8,noise_snr10db,42,full,854,0.9964871194379391,0.9838709677419355,0.9682539682539683,0.976,0.9741412852615501
retrained-wf2 float32,noise_snr5db,42,full,854,0.9859484777517564,1.0,0.8095238095238095,0.8947368421052632,0.8929873000072639
retrained-wf2 int8,noise_snr5db,42,full,854,0.9871194379391101,1.0,0.8253968253968254,0.9043478260869565,0.9022615592542117
retrained-wf2 float32,clean,42,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,clean,42,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr30db,42,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,noise_snr30db,42,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr20db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 int8,noise_snr20db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 float32,noise_snr10db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 int8,noise_snr10db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 float32,noise_snr5db,42,test,171,0.9824561403508771,1.0,0.7692307692307693,0.8695652173913043,0.8688482471849771
retrained-wf2 int8,noise_snr5db,42,test,171,0.9824561403508771,1.0,0.7692307692307693,0.8695652173913043,0.8688482471849771
retrained-wf2 float32,clean,43,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,clean,43,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr30db,43,full,854,0.9953161592505855,0.9402985074626866,1.0,0.9692307692307692,0.9672349876485011
retrained-wf2 int8,noise_snr30db,43,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr20db,43,full,854,0.9953161592505855,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9657255232476472
retrained-wf2 int8,noise_snr20db,43,full,854,0.9953161592505855,0.9538461538461539,0.9841269841269841,0.96875,0.9663568777043872
retrained-wf2 float32,noise_snr10db,43,full,854,0.9953161592505855,1.0,0.9365079365079365,0.9672131147540983,0.9652957820742234
retrained-wf2 int8,noise_snr10db,43,full,854,0.9953161592505855,1.0,0.9365079365079365,0.9672131147540983,0.9652957820742234
retrained-wf2 float32,noise_snr5db,43,full,854,0.9929742388758782,1.0,0.9047619047619048,0.95,0.9476025792832798
retrained-wf2 int8,noise_snr5db,43,full,854,0.9953161592505855,1.0,0.9365079365079365,0.9672131147540983,0.9652957820742234
retrained-wf2 float32,clean,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,clean,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr30db,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,noise_snr30db,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr20db,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,noise_snr20db,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr10db,43,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 int8,noise_snr10db,43,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 float32,noise_snr5db,43,test,171,0.9883040935672515,1.0,0.8461538461538461,0.9166666666666666,0.91409896787871
retrained-wf2 int8,noise_snr5db,43,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 float32,clean,44,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,clean,44,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr30db,44,full,854,0.9976580796252927,0.9692307692307692,1.0,0.984375,0.9832497762686422
retrained-wf2 int8,noise_snr30db,44,full,854,0.9976580796252927,0.9692307692307692,1.0,0.984375,0.9832497762686422
retrained-wf2 float32,noise_snr20db,44,full,854,0.9964871194379391,0.9838709677419355,0.9682539682539683,0.976,0.9741412852615501
retrained-wf2 int8,noise_snr20db,44,full,854,0.9964871194379391,0.9838709677419355,0.9682539682539683,0.976,0.9741412852615501
retrained-wf2 float32,noise_snr10db,44,full,854,0.9953161592505855,1.0,0.9365079365079365,0.9672131147540983,0.9652957820742234
retrained-wf2 int8,noise_snr10db,44,full,854,0.9976580796252927,1.0,0.9682539682539683,0.9838709677419355,0.9827573280377846
retrained-wf2 float32,noise_snr5db,44,full,854,0.9882903981264637,1.0,0.8412698412698413,0.9137931034482759,0.9114642596858638
retrained-wf2 int8,noise_snr5db,44,full,854,0.9894613583138173,1.0,0.8571428571428571,0.9230769230769231,0.9205976319760985
retrained-wf2 float32,clean,44,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,clean,44,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 float32,noise_snr30db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 int8,noise_snr30db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 float32,noise_snr20db,44,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 int8,noise_snr20db,44,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 float32,noise_snr10db,44,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf2 int8,noise_snr10db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf2 float32,noise_snr5db,44,test,171,0.9766081871345029,1.0,0.6923076923076923,0.8181818181818182,0.8217138645621571
retrained-wf2 int8,noise_snr5db,44,test,171,0.9824561403508771,1.0,0.7692307692307693,0.8695652173913043,0.8688482471849771
retrained-wf2 float32,clean,45,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,clean,45,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr30db,45,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 int8,noise_snr30db,45,full,854,0.9941451990632318,0.9264705882352942,1.0,0.9618320610687023,0.9594864581662822
retrained-wf2 float32,noise_snr20db,45,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf2 int8,noise_snr20db,45,full,854,0.9988290398126464,0.984375,1.0,0.9921259842519685,0.9915293898687276
retrained-wf2 float32,noise_snr10db,45,full,854,0.9964871194379391,1.0,0.9523809523809523,0.975609756097561,0.9740546882410139
retrained-wf2 int8,noise_snr10db,45,full,854,0.9976580796252927,1.0,0.9682539682539683,0.9838709677419355,0.9827573280377846
retrained-wf2 float32,noise_snr5db,45,full,854,0.9929742388758782,1.0,0.9047619047619048,0.95,0.9476025792832798
retrained-wf2 int8,noise_snr5db,45,full,854,0.9918032786885246,1.0,0.8888888888888888,0.9411764705882353,0.9386648059524355
retrained-wf2 float32,clean,45,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf2 int8,clean,45,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
