mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained float32,clean,full,0.977751756440281,0.0,0.9782608695652174,0.0,0.7142857142857143,0.0,0.8256880733944956,0.0,0.8256130343122126,0.0,5
retrained int8,clean,full,0.9718969555035128,0.0,0.7294117647058823,0.0,0.984126984126984,0.0,0.8378378378378379,0.0,0.8338960793394703,0.0,5
retrained float32,noise_snr30db,full,0.9819672131147541,0.0017758490501291776,0.979823914181057,0.0006050462471792087,0.7714285714285715,0.024072620457306487,0.8630691440079665,0.015178492934384353,0.8606507642484693,0.014495067050759399,5
retrained int8,noise_snr30db,full,0.9484777517564403,0.0014341274840650356,0.5933705927153802,0.006821696450859969,0.9587301587301587,0.008694008849288386,0.7330257445198296,0.006345480244354939,0.7312185230069413,0.006824738154137827,5
retrained float32,noise_snr20db,full,0.9597189695550352,0.0024281547252140087,0.7330400357626223,0.01780038259978331,0.7142857142857142,0.02244783432338249,0.7234151525876823,0.017320206501389025,0.7018400451877964,0.01854754842747024,5
retrained int8,noise_snr20db,full,0.9163934426229507,0.0013351000293900976,0.4648679623173355,0.004879640140726196,0.8825396825396826,0.018098022620621244,0.6089431171398385,0.00783381816231782,0.6037919625682721,0.010263412804338434,5
retrained float32,noise_snr10db,full,0.9166276346604215,0.0020946772622948994,0.4358223650732712,0.010316282912664567,0.43809523809523804,0.018098022620621244,0.43660748754160894,0.005268399382937816,0.39181002572229007,0.004579026583435787,5
retrained int8,noise_snr10db,full,0.8543325526932083,0.0037580343175365937,0.2699172062045559,0.005538123930742813,0.5714285714285714,0.022447834323382453,0.3665438684011505,0.0076371199244215015,0.3227793277341953,0.010071906020297268,5
retrained float32,noise_snr5db,full,0.892271662763466,0.0052366931557372215,0.24466200466200466,0.030037307449543815,0.21904761904761902,0.020695880651436977,0.23099607050444212,0.024115836059948773,0.17366533536316564,0.02705064786369927,5
retrained int8,noise_snr5db,full,0.8407494145199064,0.0071226727521056105,0.19237829402443946,0.011602713249391976,0.36190476190476184,0.02839451399999734,0.2510144141292561,0.014758708364386757,0.18204957898071544,0.017294408496210542,5
retrained float32,clean,test,0.9590643274853801,0.0,1.0,0.0,0.46153846153846156,0.0,0.631578947368421,0.0,0.6647992493663346,0.0,5
retrained int8,clean,test,0.982456140350877,0.0,0.8571428571428571,0.0,0.9230769230769231,0.0,0.888888888888889,0.0,0.8800909250936316,0.0,5
retrained float32,noise_snr30db,test,0.9614035087719298,0.003203055891843071,1.0,0.0,0.49230769230769234,0.04213250442347428,0.6589473684210526,0.03747575393456401,0.6869800115642549,0.03037225949614699,5
retrained int8,noise_snr30db,test,0.9590643274853801,0.005847953216374307,0.6563157894736842,0.026551575275009388,0.9692307692307693,0.04213250442347429,0.7825757575757576,0.031390295725723764,0.7785988521874143,0.03550975823987636,5
retrained float32,noise_snr20db,test,0.9508771929824562,0.003203055891843099,0.7465656565656567,0.03354387137778657,0.5384615384615385,0.05439282932204214,0.6239036325992847,0.035791392763316617,0.6085150751418931,0.032698249132023474,5
retrained int8,noise_snr20db,test,0.9321637426900585,0.008868860168481279,0.5303542673107889,0.031361393268928874,0.9846153846153847,0.03440104580768907,0.6888588588588589,0.029575844644613224,0.6945638127212866,0.029978277507290464,5
retrained float32,noise_snr10db,test,0.9169590643274853,0.004892748693181731,0.45226440226440234,0.0323977408479538,0.4153846153846154,0.04213250442347431,0.43148643626904504,0.023942223117985,0.3881399957385945,0.024774413201907382,5
retrained int8,noise_snr10db,test,0.8654970760233918,0.004135127375359934,0.30880517332130236,0.022888239933856715,0.6307692307692309,0.1140953613399333,0.4135830835830836,0.04480066918749554,0.3767221662212116,0.05936650101952924,5
retrained float32,noise_snr5db,test,0.9052631578947368,0.007624798134739979,0.32555555555555554,0.0728180550124931,0.23076923076923078,0.05439282932204212,0.26971579145492186,0.061776955045758884,0.22462563217542195,0.06575762277917374,5
retrained int8,noise_snr5db,test,0.8479532163742689,0.014324501419784681,0.22463492063492066,0.0548653726924853,0.4153846153846154,0.12871692715908858,0.2909597523219814,0.07742117340262239,0.22730137289464974,0.09152880144114006,5
