mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained float32,clean,42,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained int8,clean,42,full,854,0.9824355971896955,0.8157894736842105,0.9841269841269841,0.8920863309352518,0.8872200896442112
retrained float32,noise_snr30db,42,full,854,0.9754098360655737,0.75,1.0,0.8571428571428571,0.8544521610805494
retrained int8,noise_snr30db,42,full,854,0.9730679156908665,0.7325581395348837,1.0,0.8456375838926175,0.8433608126909826
retrained float32,noise_snr20db,42,full,854,0.9133489461358314,0.45985401459854014,1.0,0.63,0.6456264693188698
retrained int8,noise_snr20db,42,full,854,0.9086651053864169,0.44680851063829785,1.0,0.6176470588235294,0.6346250952220499
retrained float32,noise_snr10db,42,full,854,0.8266978922716628,0.2571428571428571,0.7142857142857143,0.37815126050420167,0.3561372316164748
retrained int8,noise_snr10db,42,full,854,0.8161592505854801,0.24456521739130435,0.7142857142857143,0.3643724696356275,0.34240911662369594
retrained float32,noise_snr5db,42,full,854,0.8056206088992974,0.1347517730496454,0.30158730158730157,0.18627450980392157,0.10374345097209449
retrained int8,noise_snr5db,42,full,854,0.7903981264637002,0.12337662337662338,0.30158730158730157,0.17511520737327188,0.08901148683048149
retrained float32,clean,42,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained int8,clean,42,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained float32,noise_snr30db,42,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,42,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained float32,noise_snr20db,42,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained int8,noise_snr20db,42,test,171,0.9239766081871345,0.5,1.0,0.6666666666666666,0.6773926184227806
retrained float32,noise_snr10db,42,test,171,0.8654970760233918,0.34375,0.8461538461538461,0.4888888888888889,0.48467990687384677
retrained int8,noise_snr10db,42,test,171,0.8596491228070176,0.3333333333333333,0.8461538461538461,0.4782608695652174,0.47475536761004855
retrained float32,noise_snr5db,42,test,171,0.8538011695906432,0.22727272727272727,0.38461538461538464,0.2857142857142857,0.2192843168363298
retrained int8,noise_snr5db,42,test,171,0.847953216374269,0.21739130434782608,0.38461538461538464,0.2777777777777778,0.21027120147811557
retrained float32,clean,43,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained int8,clean,43,full,854,0.9824355971896955,0.8157894736842105,0.9841269841269841,0.8920863309352518,0.8872200896442112
retrained float32,noise_snr30db,43,full,854,0.9789227166276346,0.7777777777777778,1.0,0.875,0.8718249037126263
retrained int8,noise_snr30db,43,full,854,0.9742388758782201,0.7411764705882353,1.0,0.8513513513513513,0.8488593565389725
retrained float32,noise_snr20db,43,full,854,0.9156908665105387,0.4666666666666667,1.0,0.6363636363636364,0.6512977741098707
retrained int8,noise_snr20db,43,full,854,0.9110070257611241,0.45323741007194246,1.0,0.6237623762376238,0.6400702673592317
retrained float32,noise_snr10db,43,full,854,0.8231850117096019,0.2471264367816092,0.6825396825396826,0.3628691983122363,0.33547353244818756
retrained int8,noise_snr10db,43,full,854,0.8138173302107728,0.2391304347826087,0.6984126984126984,0.3562753036437247,0.33151346919852875
retrained float32,noise_snr5db,43,full,854,0.8138173302107728,0.13636363636363635,0.2857142857142857,0.18461538461538463,0.10238692294648008
retrained int8,noise_snr5db,43,full,854,0.8021077283372365,0.1267605633802817,0.2857142857142857,0.17560975609756097,0.0905311497006743
retrained float32,clean,43,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained int8,clean,43,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained float32,noise_snr30db,43,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,43,test,171,0.9824561403508771,0.8125,1.0,0.896551724137931,0.8927893283469098
retrained float32,noise_snr20db,43,test,171,0.9415204678362573,0.5652173913043478,1.0,0.7222222222222222,0.7276291216616805
retrained int8,noise_snr20db,43,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained float32,noise_snr10db,43,test,171,0.8596491228070176,0.3225806451612903,0.7692307692307693,0.45454545454545453,0.43775438305900805
retrained int8,noise_snr10db,43,test,171,0.8596491228070176,0.3225806451612903,0.7692307692307693,0.45454545454545453,0.43775438305900805
retrained float32,noise_snr5db,43,test,171,0.8538011695906432,0.2,0.3076923076923077,0.24242424242424243,0.17024021750422863
retrained int8,noise_snr5db,43,test,171,0.8421052631578947,0.18181818181818182,0.3076923076923077,0.22857142857142856,0.15338340615265247
retrained float32,clean,44,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained int8,clean,44,full,854,0.9824355971896955,0.8157894736842105,0.9841269841269841,0.8920863309352518,0.8872200896442112
retrained float32,noise_snr30db,44,full,854,0.9789227166276346,0.7777777777777778,1.0,0.875,0.8718249037126263
retrained int8,noise_snr30db,44,full,854,0.9765807962529274,0.7590361445783133,1.0,0.863013698630137,0.8601420423886689
retrained float32,noise_snr20db,44,full,854,0.9215456674473068,0.4846153846153846,1.0,0.6528497409326425,0.6660082975583788
retrained int8,noise_snr20db,44,full,854,0.9110070257611241,0.45323741007194246,1.0,0.6237623762376238,0.6400702673592317
retrained float32,noise_snr10db,44,full,854,0.832552693208431,0.2619047619047619,0.6984126984126984,0.38095238095238093,0.3561720615756462
retrained int8,noise_snr10db,44,full,854,0.8231850117096019,0.25555555555555554,0.7301587301587301,0.3786008230452675,0.3593882345645576
retrained float32,noise_snr5db,44,full,854,0.8056206088992974,0.1347517730496454,0.30158730158730157,0.18627450980392157,0.10374345097209449
retrained int8,noise_snr5db,44,full,854,0.797423887587822,0.12837837837837837,0.30158730158730157,0.18009478672985782,0.09564961587472837
retrained float32,clean,44,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained int8,clean,44,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained float32,noise_snr30db,44,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,44,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained float32,noise_snr20db,44,test,171,0.9473684210526315,0.5909090909090909,1.0,0.7428571428571429,0.7464916023057483
retrained int8,noise_snr20db,44,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained float32,noise_snr10db,44,test,171,0.8713450292397661,0.3448275862068966,0.7692307692307693,0.47619047619047616,0.4583389427673181
retrained int8,noise_snr10db,44,test,171,0.8654970760233918,0.34375,0.8461538461538461,0.4888888888888889,0.48467990687384677
retrained float32,noise_snr5db,44,test,171,0.8421052631578947,0.25,0.5384615384615384,0.34146341463414637,0.2904676341174541
retrained int8,noise_snr5db,44,test,171,0.8362573099415205,0.2413793103448276,0.5384615384615384,0.3333333333333333,0.2819489370361597
retrained float32,clean,45,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained int8,clean,45,full,854,0.9824355971896955,0.8157894736842105,0.9841269841269841,0.8920863309352518,0.8872200896442112
retrained float32,noise_snr30db,45,full,854,0.9789227166276346,0.7777777777777778,1.0,0.875,0.8718249037126263
retrained int8,noise_snr30db,45,full,854,0.9718969555035128,0.7241379310344828,1.0,0.84,0.8379538267751635
retrained float32,noise_snr20db,45,full,854,0.9168618266978923,0.4701492537313433,1.0,0.6395939086294417,0.6541779206119238
retrained int8,noise_snr20db,45,full,854,0.9121779859484778,0.45652173913043476,1.0,0.6268656716417911,0.6428342398675829
retrained float32,noise_snr10db,45,full,854,0.8348946135831382,0.27586206896551724,0.7619047619047619,0.4050632911392405,0.39108191690291433
retrained int8,noise_snr10db,45,full,854,0.8266978922716628,0.2677595628415301,0.7777777777777778,0.3983739837398374,0.3875617447018196
retrained float32,noise_snr5db,45,full,854,0.8009367681498829,0.1258741258741259,0.2857142857142857,0.17475728155339806,0.08939239800866197
retrained int8,noise_snr5db,45,full,854,0.788056206088993,0.1118421052631579,0.2698412698412698,0.15813953488372093,0.06777255747573413
retrained float32,clean,45,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained int8,clean,45,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained float32,noise_snr30db,45,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,45,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained float32,noise_snr20db,45,test,171,0.935672514619883,0.5416666666666666,1.0,0.7027027027027027,0.7098983703337624
retrained int8,noise_snr20db,45,test,171,0.935672514619883,0.5416666666666666,1.0,0.7027027027027027,0.7098983703337624
retrained float32,noise_snr10db,45,test,171,0.8771929824561403,0.36666666666666664,0.8461538461538461,0.5116279069767442,0.5058330946897808
retrained int8,noise_snr10db,45,test,171,0.8596491228070176,0.3333333333333333,0.8461538461538461,0.4782608695652174,0.47475536761004855
retrained float32,noise_snr5db,45,test,171,0.8538011695906432,0.25,0.46153846153846156,0.32432432432432434,0.265236753751076
retrained int8,noise_snr5db,45,test,171,0.847953216374269,0.21739130434782608,0.38461538461538464,0.2777777777777778,0.21027120147811557
retrained float32,clean,46,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained int8,clean,46,full,854,0.9824355971896955,0.8157894736842105,0.9841269841269841,0.8920863309352518,0.8872200896442112
retrained float32,noise_snr30db,46,full,854,0.9789227166276346,0.7777777777777778,1.0,0.875,0.8718249037126263
retrained int8,noise_snr30db,46,full,854,0.9707259953161592,0.7159090909090909,1.0,0.8344370860927153,0.8326358035392657
retrained float32,noise_snr20db,46,full,854,0.9156908665105387,0.4666666666666667,1.0,0.6363636363636364,0.6512977741098707
retrained int8,noise_snr20db,46,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained float32,noise_snr10db,46,full,854,0.8266978922716628,0.24550898203592814,0.6507936507936508,0.3565217391304348,0.32392678596253394
retrained int8,noise_snr10db,46,full,854,0.8185011709601874,0.23863636363636365,0.6666666666666666,0.3514644351464435,0.3213450428221518
retrained float32,noise_snr5db,46,full,854,0.8220140515222483,0.15503875968992248,0.31746031746031744,0.20833333333333334,0.13114333074822013
retrained int8,noise_snr5db,46,full,854,0.8021077283372365,0.136986301369863,0.31746031746031744,0.19138755980861244,0.10982086429841321
retrained float32,clean,46,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained int8,clean,46,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained float32,noise_snr30db,46,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,46,test,171,0.9824561403508771,0.8125,1.0,0.896551724137931,0.8927893283469098
retrained float32,noise_snr20db,46,test,171,0.935672514619883,0.5416666666666666,1.0,0.7027027027027027,0.7098983703337624
retrained int8,noise_snr20db,46,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained float32,noise_snr10db,46,test,171,0.8654970760233918,0.3333333333333333,0.7692307692307693,0.46511627906976744,0.44782004358853833
retrained int8,noise_snr10db,46,test,171,0.8596491228070176,0.3225806451612903,0.7692307692307693,0.45454545454545453,0.43775438305900805
retrained float32,noise_snr5db,46,test,171,0.8713450292397661,0.2631578947368421,0.38461538461538464,0.3125,0.24963459176571867
retrained int8,noise_snr5db,46,test,171,0.8421052631578947,0.20833333333333334,0.38461538461538464,0.2702702702702703,0.20171366566783513
