recording_id,class_id,split3
128302__xenonn__layered-gunshot-8_uid-lse78m,0,train
147901__tcawte__gunshot_uid-ffols3,0,val
171236__alukahn__gunshot2_uid-fcn21d,0,test
180961__kleeb__gunshots_uid-kz30bp,0,train
20352__cognito-perceptu__gunshot_uid-ejdc8l,0,train
221640__jakesapp23__gunshot-1_uid-t3t56m,0,val
241008_1_uid-7r8oyd,1,train
241008_1_uid-p6k7wr,1,train
241008_1_uid-qnzl7l,1,test
241008_1_uid-ra5198,1,train
241008_1_uid-xaqkru,1,train
241008_1_uid-zovpsu,1,train
241008_2_uid-331dfo,1,val
241008_2_uid-4eh60n,1,train
241008_2_uid-bo0vei,1,test
241008_2_uid-dledq0,1,train
241008_2_uid-ejh1ap,1,train
241008_2_uid-f6h7px,1,train
241008_2_uid-kaqlxl,1,train
241008_2_uid-o7vvp1,1,test
241008_2_uid-wghgor,1,train
241008_2_uid-wjf89e,1,train
241008_3_uid-07zosk,1,train
241008_3_uid-afyn4k,1,train
241008_3_uid-ejl586,1,val
241008_3_uid-m9dvbh,1,train
241008_3_uid-qd641c,1,train
241008_3_uid-zc02dx,1,train
241008_3_uid-zqkvz9,1,test
241008_4_uid-iduyop,1,train
241008_4_uid-kbqt2u,1,val
241008_5_uid-3jf45b,1,train
241008_5_uid-6m7hx7,1,train
241008_5_uid-7gy4zv,1,test
241008_5_uid-7x5eu8,1,train
241008_5_uid-9l12wc,1,val
241008_5_uid-ckpza0,1,train
241008_5_uid-des5jl,1,train
241008_5_uid-df8qgo,1,train
241008_5_uid-fruyxo,1,train
241008_5_uid-fw3wx7,1,train
241008_5_uid-fz4oft,1,test
241008_5_uid-hlycay,1,train
241008_5_uid-hy37r6,1,val
241008_5_uid-ji4us0,1,val
241008_5_uid-kx4ygx,1,train
241008_5_uid-s8t01x,1,train
241008_5_uid-sv5s9r,1,train
241008_6_uid-dg4gmo,1,test
241008_6_uid-gdbsga,1,train
241008_6_uid-k8dozh,1,val
241008_6_uid-nmu1po,1,train
241009_4_uid-1jp830,1,train
241009_4_uid-40vxbk,1,test
241009_4_uid-4uutgk,1,train
241009_4_uid-7trnsb,1,train
241009_4_uid-8746g7,1,val
241009_4_uid-gkeca3,1,test
241009_4_uid-lwr4w6,1,val
241009_4_uid-lzigii,1,train
241009_4_uid-mzy7d3,1,test
241009_4_uid-rla4g1,1,train
241009_4_uid-xd8zoi,1,train
241009_5_uid-37ncoi,1,test
241009_5_uid-av44qa,1,test
241009_5_uid-laqm0d,1,train
241009_5_uid-r0hvdd,1,val
241009_5_uid-s48zke,1,test
337242__adrilahan__distant-three-round-burst_uid-6au8kr,0,train
337242__adrilahan__distant-three-round-burst_uid-hpid0y,0,train
344524__jeremysykes__gunshot02_uid-8hfr2k,0,train
350264__randomx45__gunshot_uid-k88htu,0,train
370304__morganpurkis__single-gunshot-2_uid-b0dd83,0,train
370332__morganpurkis__single-gunshot-2-v2_uid-2shhwg,0,train
371041__morganpurkis__single-gunshot-3_uid-1k053k,0,test
384687__morganpurkis__single-gunshot-42_uid-u9d6r1,0,test
384689__dobroide__20170318gunshotparadiso_uid-49aegw,0,train
384689__dobroide__20170318gunshotparadiso_uid-8mby6q,0,val
384689__dobroide__20170318gunshotparadiso_uid-8nfgas,0,val
384689__dobroide__20170318gunshotparadiso_uid-kwsehz,0,test
384689__dobroide__20170318gunshotparadiso_uid-pjl13d,0,test
384689__dobroide__20170318gunshotparadiso_uid-uof88q,0,val
384689__dobroide__20170318gunshotparadiso_uid-vwkgqm,0,train
384689__dobroide__20170318gunshotparadiso_uid-xdxkmb,0,train
384689__dobroide__20170318gunshotparadiso_uid-zyxakp,0,train
385811__morganpurkis__single-pistol-gunshot-3_uid-ndpa6x,0,train
391847__morganpurkis__single-gunshot-54_uid-ihrkae,0,train
399266__morganpurkis__simple-gunshot-reverb-test_uid-lr1lb6,0,val
402008__eardeer__gunshot__high_3_uid-4j4q67,0,test
402012__eardeer__gunshot__high_5_uid-aaerc6,0,val
402013__eardeer__gunshot__high_4_uid-dzkr28,0,train
402014__eardeer__gunshot__high_6_uid-dd20sk,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-6aezru,0,test
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-7aijxv,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-7x2600,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-9yxqa7,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-af9hyb,0,val
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-aymttz,0,val
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-btphrk,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-byjlki,0,test
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-emyyzn,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-garl1l,0,test
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-ieochv,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-l3ibfo,0,test
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-n6db0o,0,val
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qe3eyz,0,test
