#separator:tab
#html:true
#tags column:3
<b>Slide 1 – Title</b> [0:00–0:45]<br><i>Say the whole slide.</i>	<b>Good morning.</b><br>My name is Martin Maxa, from the Department of Measurement here at this faculty.<br>I worked on this together with Jakub Svatoš, from the same department.<br>Today I will talk about acoustic detection, classification and localization of impulsive sounds, with gunshots as the target class.<br>The main focus is gunshot classification: we compare different cepstral features and two classifiers.<br>I will also briefly show the localization.	talk slide1
<b>Slide 1 – Title</b><br>Last sentence (the bridge to the next slide)?	I will also briefly show the localization.	talk bridge slide1
<b>Slide 2 – Motivation and research questions</b> [0:45–1:50]<br><i>Say the whole slide.</i>	<b>This work is part of the development of an acoustic sensor system for the protection of soft targets.</b><br>Acoustic detection can complement camera-based surveillance.<br>Sound is omnidirectional, and it does not need a direct line of sight.<br><i style="color:#777">[CUT] The complete system should detect an impulsive event, classify it, ideally down to the calibre, and localize its source.<br>It should also work outdoors, where there is noise and many reflections. [/CUT]</i><br><span style="color:#C8102E"><b>[CLICK]</b></span><br>We focus on three questions.<br>First, which cepstral representation works best for separating gunshots from similar impulsive sounds?<br>Second, which classifier performs better: a neural network or a support vector machine?<br>And third, how does the frame length affect the results?	talk slide2
<b>Slide 2 – Motivation and research questions</b><br>Last sentence (the bridge to the next slide)?	And third, how does the frame length affect the results?	talk bridge slide2
<b>Slide 3 – The acoustic signature of a gunshot</b> [1:50–3:00]<br><i>Say the whole slide.</i>	<b>Let us first look at the signal of a gunshot.</b><br>A gunshot has one or two components, depending on the projectile speed.<br>A subsonic shot has only the muzzle blast; a supersonic projectile also produces a shock wave.<br>This recording is a supersonic shot, so we see both.<br>The first component, at about two and a half milliseconds, is the shock wave.<br><i style="color:#777">[CUT] It is produced along the projectile trajectory and has a characteristic N-shaped pressure profile. [/CUT]</i><br><span style="color:#C8102E"><b>[CLICK]</b></span><br>The second one, about forty-five milliseconds later, is the muzzle blast.<br>It comes from the gases at the barrel and is present in every gunshot.<br>Between and after these two components, we mainly see reflections from the surroundings.<br>They matter for the choice of frame length, and I will return to them in the results.	talk slide3
<b>Slide 3 – The acoustic signature of a gunshot</b><br>Last sentence (the bridge to the next slide)?	They matter for the choice of frame length, and I will return to them in the results.	talk bridge slide3
<b>Slide 4 – Single-domain analysis is insufficient</b> [3:00–3:30]<br><i>Say the whole slide.</i>	<b>This also shows why one signal domain alone is not enough.</b><br>The spectrum often describes the environment more than the gunshot itself.<br>The time-domain shape changes during propagation and because of obstacles.<br>So we need features that combine both domains, and cepstral features do exactly that.	talk slide4
<b>Slide 4 – Single-domain analysis is insufficient</b><br>Last sentence (the bridge to the next slide)?	So we need features that combine both domains, and cepstral features do exactly that.	talk bridge slide4
<b>Slide 5 – Proposed system architecture</b> [3:30–4:20]<br><i>Say the whole slide.</i>	<b>Now let us look at the proposed system.</b><br>It consists of several independent sensor units connected to a remote server.<br>Each sensor continuously monitors its surroundings.<br>When it detects an impulsive event, it sends the recorded signal to the server.<br>The server then performs two main tasks: classification of the event and localization of the sound source.<br>Several units give wider coverage and allow us to estimate the source position.<br>The system was tested with several firearm calibres and ammunition types.	talk slide5
<b>Slide 5 – Proposed system architecture</b><br>Last sentence (the bridge to the next slide)?	The system was tested with several firearm calibres and ammunition types.	talk bridge slide5
