mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained float32,clean,42,full,854,0.990632318501171,0.9104477611940298,0.9682539682539683,0.9384615384615385,0.9339150191342791
retrained int8,clean,42,full,854,0.9426229508196722,0.5625,1.0,0.72,0.7263985595089222
retrained float32,noise_snr30db,42,full,854,0.9800936768149883,0.7875,1.0,0.8811188811188811,0.8778241402689596
retrained int8,noise_snr30db,42,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained float32,noise_snr20db,42,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained int8,noise_snr20db,42,full,854,0.8969555035128806,0.41721854304635764,1.0,0.5887850467289719,0.6089353995384993
retrained float32,noise_snr10db,42,full,854,0.8735362997658079,0.3668639053254438,0.9841269841269841,0.5344827586206896,0.5569336768342447
retrained int8,noise_snr10db,42,full,854,0.8512880562060889,0.32978723404255317,0.9841269841269841,0.4940239043824701,0.52036674122092
retrained float32,noise_snr5db,42,full,854,0.8629976580796253,0.3353658536585366,0.873015873015873,0.4845814977973568,0.4878954549976992
retrained int8,noise_snr5db,42,full,854,0.8524590163934426,0.3240223463687151,0.9206349206349206,0.4793388429752066,0.4930049591953402
retrained float32,clean,42,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained int8,clean,42,test,171,0.9473684210526315,0.5909090909090909,1.0,0.7428571428571429,0.7464916023057483
retrained float32,noise_snr30db,42,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained int8,noise_snr30db,42,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained float32,noise_snr20db,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained int8,noise_snr20db,42,test,171,0.9064327485380117,0.4482758620689655,1.0,0.6190476190476191,0.6347289484984765
retrained float32,noise_snr10db,42,test,171,0.8888888888888888,0.40625,1.0,0.5777777777777777,0.5978270250655571
retrained int8,noise_snr10db,42,test,171,0.8596491228070176,0.35135135135135137,1.0,0.52,0.5458768412651585
retrained float32,noise_snr5db,42,test,171,0.8713450292397661,0.3448275862068966,0.7692307692307693,0.47619047619047616,0.4583389427673181
retrained int8,noise_snr5db,42,test,171,0.8596491228070176,0.3333333333333333,0.8461538461538461,0.4782608695652174,0.47475536761004855
retrained float32,clean,43,full,854,0.990632318501171,0.9104477611940298,0.9682539682539683,0.9384615384615385,0.9339150191342791
retrained int8,clean,43,full,854,0.9426229508196722,0.5625,1.0,0.72,0.7263985595089222
retrained float32,noise_snr30db,43,full,854,0.977751756440281,0.7682926829268293,1.0,0.8689655172413793,0.8659319360378187
retrained int8,noise_snr30db,43,full,854,0.9121779859484778,0.45652173913043476,1.0,0.6268656716417911,0.6428342398675829
retrained float32,noise_snr20db,43,full,854,0.9133489461358314,0.45985401459854014,1.0,0.63,0.6456264693188698
retrained int8,noise_snr20db,43,full,854,0.8934426229508197,0.4090909090909091,1.0,0.5806451612903226,0.6016870890901646
retrained float32,noise_snr10db,43,full,854,0.870023419203747,0.36046511627906974,0.9841269841269841,0.5276595744680851,0.5507962063255049
retrained int8,noise_snr10db,43,full,854,0.8524590163934426,0.3315508021390374,0.9841269841269841,0.496,0.5221640674885946
retrained float32,noise_snr5db,43,full,854,0.8735362997658079,0.35668789808917195,0.8888888888888888,0.509090909090909,0.5136797662673123
retrained int8,noise_snr5db,43,full,854,0.8536299765807962,0.3277777777777778,0.9365079365079365,0.48559670781893005,0.5021712355714184
retrained float32,clean,43,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained int8,clean,43,test,171,0.9473684210526315,0.5909090909090909,1.0,0.7428571428571429,0.7464916023057483
retrained float32,noise_snr30db,43,test,171,0.9824561403508771,0.8125,1.0,0.896551724137931,0.8927893283469098
retrained int8,noise_snr30db,43,test,171,0.9239766081871345,0.5,1.0,0.6666666666666666,0.6773926184227806
retrained float32,noise_snr20db,43,test,171,0.9298245614035088,0.52,1.0,0.6842105263157895,0.6931856382773117
retrained int8,noise_snr20db,43,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained float32,noise_snr10db,43,test,171,0.8771929824561403,0.38235294117647056,1.0,0.5531914893617021,0.5757897874871823
retrained int8,noise_snr10db,43,test,171,0.8538011695906432,0.34210526315789475,1.0,0.5098039215686274,0.5366327268666194
retrained float32,noise_snr5db,43,test,171,0.9005847953216374,0.4230769230769231,0.8461538461538461,0.5641025641025641,0.5544916765126529
retrained int8,noise_snr5db,43,test,171,0.8713450292397661,0.3548387096774194,0.8461538461538461,0.5,0.49502752728478494
retrained float32,clean,44,full,854,0.990632318501171,0.9104477611940298,0.9682539682539683,0.9384615384615385,0.9339150191342791
retrained int8,clean,44,full,854,0.9426229508196722,0.5625,1.0,0.72,0.7263985595089222
retrained float32,noise_snr30db,44,full,854,0.9789227166276346,0.7777777777777778,1.0,0.875,0.8718249037126263
retrained int8,noise_snr30db,44,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
