mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf float32,clean,42,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,clean,42,full,854,0.9871194379391101,0.8513513513513513,1.0,0.9197080291970803,0.9162489172982042
retrained-wf float32,noise_snr30db,42,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr30db,42,full,854,0.9836065573770492,0.8181818181818182,1.0,0.9,0.8964935716750603
retrained-wf float32,noise_snr20db,42,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr20db,42,full,854,0.955503512880562,0.6237623762376238,1.0,0.7682926829268293,0.7705819539778832
retrained-wf float32,noise_snr10db,42,full,854,0.990632318501171,0.8985507246376812,0.9841269841269841,0.9393939393939394,0.9354645085583535
retrained-wf int8,noise_snr10db,42,full,854,0.914519906323185,0.4632352941176471,1.0,0.6331658291457286,0.6484474711591378
retrained-wf float32,noise_snr5db,42,full,854,0.9894613583138173,0.8857142857142857,0.9841269841269841,0.9323308270676691,0.9281460259929349
retrained-wf int8,noise_snr5db,42,full,854,0.8911007025761124,0.40384615384615385,1.0,0.5753424657534246,0.5969630424607449
retrained-wf float32,clean,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,clean,42,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr30db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr30db,42,test,171,0.9824561403508771,0.8125,1.0,0.896551724137931,0.8927893283469098
retrained-wf float32,noise_snr20db,42,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr20db,42,test,171,0.9649122807017544,0.6842105263157895,1.0,0.8125,0.8113124232385857
retrained-wf float32,noise_snr10db,42,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
retrained-wf int8,noise_snr10db,42,test,171,0.9239766081871345,0.5,1.0,0.6666666666666666,0.6773926184227806
retrained-wf float32,noise_snr5db,42,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf int8,noise_snr5db,42,test,171,0.8947368421052632,0.41935483870967744,1.0,0.5909090909090909,0.6095738157363387
retrained-wf float32,clean,43,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,clean,43,full,854,0.9871194379391101,0.8513513513513513,1.0,0.9197080291970803,0.9162489172982042
retrained-wf float32,noise_snr30db,43,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr30db,43,full,854,0.9836065573770492,0.8181818181818182,1.0,0.9,0.8964935716750603
retrained-wf float32,noise_snr20db,43,full,854,0.9964871194379391,0.96875,0.9841269841269841,0.9763779527559056,0.9745158054012192
retrained-wf int8,noise_snr20db,43,full,854,0.955503512880562,0.6237623762376238,1.0,0.7682926829268293,0.7705819539778832
retrained-wf float32,noise_snr10db,43,full,854,0.990632318501171,0.8985507246376812,0.9841269841269841,0.9393939393939394,0.9354645085583535
retrained-wf int8,noise_snr10db,43,full,854,0.9086651053864169,0.44680851063829785,1.0,0.6176470588235294,0.6346250952220499
retrained-wf float32,noise_snr5db,43,full,854,0.990632318501171,0.8985507246376812,0.9841269841269841,0.9393939393939394,0.9354645085583535
retrained-wf int8,noise_snr5db,43,full,854,0.8957845433255269,0.4144736842105263,1.0,0.586046511627907,0.6064971928210882
retrained-wf float32,clean,43,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,clean,43,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr30db,43,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr30db,43,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr20db,43,test,171,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733
