arm,regime,variant,scope,acc,prec,rec,f1,mcc,mcc_std
1 jitter,float32,clean,full,0.985480093676815,0.8943477552578786,0.9238095238095237,0.9015516023895007,0.8980994208237786,0.04183785564255756
1 jitter,float32,clean,test,0.9859649122807016,0.9703296703296703,0.8461538461538463,0.8875237666816613,0.8915205258628001,0.11688452034263007
1 jitter,float32,noise_snr10db,full,0.8635128805620609,0.2989674639759335,0.5879365079365079,0.38285296308509886,0.34854910120820115,0.14369523478968946
1 jitter,float32,noise_snr10db,test,0.8835087719298245,0.361947166993289,0.6553846153846153,0.45181717154305917,0.42511110223685855,0.10573234060185228
1 jitter,float32,noise_snr20db,full,0.9214988290398126,0.508978637168823,0.8780952380952382,0.6296871707096243,0.6270382451007647,0.09001947849879369
1 jitter,float32,noise_snr20db,test,0.9319298245614036,0.5607544434208049,0.8492307692307693,0.6529829437747058,0.6482216222703774,0.0734423655577371
1 jitter,float32,noise_snr30db,full,0.9780327868852459,0.8158459916717483,0.9403174603174602,0.8649246697872619,0.8608278676038781,0.0530173326172764
1 jitter,float32,noise_snr30db,test,0.9815204678362573,0.8866499336576736,0.8984615384615384,0.8689550456601274,0.8723943345760765,0.10600555457722806
1 jitter,float32,noise_snr5db,full,0.8541451990632318,0.17783195035225557,0.31746031746031744,0.21781319193636853,0.15857741984934864,0.17967530324389278
1 jitter,float32,noise_snr5db,test,0.8732163742690058,0.2284054825173612,0.33230769230769225,0.257013410208274,0.20349404654483266,0.17634716801637804
1 jitter,int8,clean,full,0.9704918032786886,0.7416395032611451,0.9841269841269841,0.8390232952930795,0.8374763939516946,0.07184964787992242
1 jitter,int8,clean,test,0.9789473684210526,0.8367257742257742,0.953846153846154,0.8822749357921772,0.8787725072723543,0.07270787625065955
1 jitter,int8,noise_snr10db,full,0.8433723653395785,0.26262393500988046,0.646984126984127,0.3715111321697981,0.3415558135838239,0.12451852085242893
1 jitter,int8,noise_snr10db,test,0.8645614035087719,0.32348931525631536,0.7323076923076922,0.44585245917182603,0.42560202190162216,0.07903510654689763
1 jitter,int8,noise_snr20db,full,0.9037470725995317,0.4301557920563869,0.92,0.5854212730933245,0.5896585343163689,0.07164304649467734
1 jitter,int8,noise_snr20db,test,0.9176608187134502,0.48126845356320613,0.9476923076923077,0.6375327802660997,0.6409785202950132,0.0770133032874918
1 jitter,int8,noise_snr30db,full,0.9511943793911007,0.6301743380468593,0.9796825396825397,0.7597782806132729,0.7610982895952,0.09846509364443685
1 jitter,int8,noise_snr30db,test,0.9604678362573099,0.6898801058421197,0.9938461538461538,0.8057197553167447,0.8065070110311193,0.10076656002394203
1 jitter,int8,noise_snr5db,full,0.8356908665105387,0.1660987603767644,0.3663492063492063,0.22432275150332653,0.16330793077154498,0.17456593204875473
1 jitter,int8,noise_snr5db,test,0.8530994152046784,0.20705918016787095,0.39692307692307693,0.265705107415934,0.2097242043933197,0.15985192912771476
2 jitter+wf,float32,clean,full,0.9608899297423887,0.7526573017266608,0.9714285714285714,0.8216849135919978,0.8257644384983837,0.15407338741627372
2 jitter+wf,float32,clean,test,0.9578947368421052,0.7504954304954304,0.9538461538461539,0.8101894918173987,0.8138049144112446,0.15550467577843924
2 jitter+wf,float32,noise_snr10db,full,0.9472599531615926,0.7123663383090638,0.9809523809523809,0.7902882700052207,0.7979191302515599,0.18655610457983168
2 jitter+wf,float32,noise_snr10db,test,0.9459649122807018,0.715408266991284,0.9692307692307692,0.7857901895020436,0.7928737741100284,0.18059934741557582
2 jitter+wf,float32,noise_snr20db,full,0.957096018735363,0.750859054766209,0.9657142857142857,0.8124297312522524,0.8180994306738402,0.16587056045024326
2 jitter+wf,float32,noise_snr20db,test,0.9571929824561403,0.7750096697682904,0.9292307692307692,0.8026083698448986,0.8102055003902455,0.16362201050282507
2 jitter+wf,float32,noise_snr30db,full,0.9591569086651055,0.7594915091553402,0.958095238095238,0.8153767473012361,0.8204698966151962,0.15721649199647997
2 jitter+wf,float32,noise_snr30db,test,0.9567251461988303,0.767989417989418,0.9261538461538461,0.7975207134413033,0.8048474168495667,0.15669226805185477
2 jitter+wf,float32,noise_snr5db,full,0.9439344262295082,0.711488800650201,0.9714285714285714,0.7842577584434998,0.7908585548787073,0.20707886750468513
2 jitter+wf,float32,noise_snr5db,test,0.9445614035087719,0.7222674874145463,0.9784615384615385,0.7929590463460944,0.8001494026970924,0.2072842980081195
