mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9523809523809523,0.5555555555555556,1.0,0.7142857142857143,0.7262411172176585,168
PC int8,20 dB,0.8988095238095238,0.37037037037037035,1.0,0.5405405405405406,0.5749090309010053,168
PC float32,10 dB,0.9047619047619048,0.36363636363636365,0.8,0.5,0.4989419263366419,168
PC int8,10 dB,0.8333333333333334,0.25,0.9,0.391304347826087,0.42042227662071063,168
PC float32,5 dB,0.8928571428571429,0.1,0.1,0.1,0.043037974683544304,168
PC int8,5 dB,0.8154761904761905,0.043478260869565216,0.1,0.06060606060606061,-0.02700941804981781,168
