mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained float32,clean,42,full,854,0.977751756440281,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.8256130343122126
retrained int8,clean,42,full,854,0.9718969555035128,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.8338960793394703
retrained float32,noise_snr30db,42,full,854,0.9812646370023419,0.9795918367346939,0.7619047619047619,0.8571428571428571,0.8549525348738684
retrained int8,noise_snr30db,42,full,854,0.9484777517564403,0.594059405940594,0.9523809523809523,0.7317073170731707,0.728965752833438
retrained float32,noise_snr20db,42,full,854,0.9637002341920374,0.7580645161290323,0.746031746031746,0.752,0.7324455683488936
retrained int8,noise_snr20db,42,full,854,0.9168618266978923,0.4672131147540984,0.9047619047619048,0.6162162162162163,0.6144762981140549
retrained float32,noise_snr10db,42,full,854,0.9168618266978923,0.4375,0.4444444444444444,0.4409448818897638,0.3960539335059334
retrained int8,noise_snr10db,42,full,854,0.8501170960187353,0.26277372262773724,0.5714285714285714,0.36,0.3160598197084007
retrained float32,noise_snr5db,42,full,854,0.8934426229508197,0.25862068965517243,0.23809523809523808,0.24793388429752067,0.19088716890597565
retrained int8,noise_snr5db,42,full,854,0.8348946135831382,0.18548387096774194,0.36507936507936506,0.24598930481283424,0.17613836289620627
retrained float32,clean,42,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,clean,42,test,171,0.9824561403508771,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8800909250936316
retrained float32,noise_snr30db,42,test,171,0.9649122807017544,1.0,0.5384615384615384,0.7,0.7202511548611353
retrained int8,noise_snr30db,42,test,171,0.9532163742690059,0.631578947368421,0.9230769230769231,0.75,0.7411026943044773
retrained float32,noise_snr20db,42,test,171,0.9532163742690059,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.6442872472102531
retrained int8,noise_snr20db,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained float32,noise_snr10db,42,test,171,0.9122807017543859,0.4166666666666667,0.38461538461538464,0.4,0.3530919130550445
retrained int8,noise_snr10db,42,test,171,0.8654970760233918,0.3076923076923077,0.6153846153846154,0.41025641025641024,0.37014026364746105
retrained float32,noise_snr5db,42,test,171,0.9064327485380117,0.3333333333333333,0.23076923076923078,0.2727272727272727,0.22883170911857542
retrained int8,noise_snr5db,42,test,171,0.8362573099415205,0.2,0.38461538461538464,0.2631578947368421,0.19356606337564553
retrained float32,clean,43,full,854,0.977751756440281,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.8256130343122126
retrained int8,clean,43,full,854,0.9718969555035128,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.8338960793394703
retrained float32,noise_snr30db,43,full,854,0.9847775175644028,0.9807692307692307,0.8095238095238095,0.8869565217391304,0.8835284227278309
retrained int8,noise_snr30db,43,full,854,0.9473067915690867,0.5865384615384616,0.9682539682539683,0.7305389221556886,0.7304765542223532
retrained float32,noise_snr20db,43,full,854,0.9601873536299765,0.7457627118644068,0.6984126984126984,0.7213114754098361,0.7003353379170569
retrained int8,noise_snr20db,43,full,854,0.9156908665105387,0.46153846153846156,0.8571428571428571,0.6,0.5910585090597716
retrained float32,noise_snr10db,43,full,854,0.9192037470725996,0.4482758620689655,0.4126984126984127,0.4297520661157025,0.3867362366978865
retrained int8,noise_snr10db,43,full,854,0.8524590163934426,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.3197609377757779
retrained float32,noise_snr5db,43,full,854,0.8899297423887588,0.21818181818181817,0.19047619047619047,0.2033898305084746,0.14494677808453943
retrained int8,noise_snr5db,43,full,854,0.84192037470726,0.18421052631578946,0.3333333333333333,0.23728813559322035,0.16582975293721627
retrained float32,clean,43,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,clean,43,test,171,0.9824561403508771,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8800909250936316
retrained float32,noise_snr30db,43,test,171,0.9649122807017544,1.0,0.5384615384615384,0.7,0.7202511548611353
retrained int8,noise_snr30db,43,test,171,0.9590643274853801,0.65,1.0,0.7878787878787878,0.7881640258509454
retrained float32,noise_snr20db,43,test,171,0.9473684210526315,0.75,0.46153846153846156,0.5714285714285714,0.5633676508438019
retrained int8,noise_snr20db,43,test,171,0.9298245614035088,0.5217391304347826,0.9230769230769231,0.6666666666666666,0.6629593816387349
retrained float32,noise_snr10db,43,test,171,0.9239766081871345,0.5,0.38461538461538464,0.43478260869565216,0.3986803665880433
retrained int8,noise_snr10db,43,test,171,0.8654970760233918,0.3076923076923077,0.6153846153846154,0.41025641025641024,0.37014026364746105
retrained float32,noise_snr5db,43,test,171,0.9005847953216374,0.25,0.15384615384615385,0.19047619047619047,0.145424621367489
retrained int8,noise_snr5db,43,test,171,0.847953216374269,0.19047619047619047,0.3076923076923077,0.23529411764705882,0.16157952435324585
retrained float32,clean,44,full,854,0.977751756440281,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.8256130343122126
retrained int8,clean,44,full,854,0.9718969555035128,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.8338960793394703
retrained float32,noise_snr30db,44,full,854,0.9824355971896955,0.98,0.7777777777777778,0.8672566371681416,0.8645587914383831
retrained int8,noise_snr30db,44,full,854,0.9473067915690867,0.5882352941176471,0.9523809523809523,0.7272727272727273,0.7248467352638912
retrained float32,noise_snr20db,44,full,854,0.9590163934426229,0.71875,0.7301587301587301,0.7244094488188977,0.7022984539210847
retrained int8,noise_snr20db,44,full,854,0.9180327868852459,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.610829845140059
retrained float32,noise_snr10db,44,full,854,0.914519906323185,0.42424242424242425,0.4444444444444444,0.43410852713178294,0.3880265625376101
retrained int8,noise_snr10db,44,full,854,0.8524590163934426,0.2733812949640288,0.6031746031746031,0.37623762376237624,0.33669585936456864
retrained float32,noise_snr5db,44,full,854,0.8864168618266979,0.21666666666666667,0.20634920634920634,0.21138211382113822,0.15027451384957236
retrained int8,noise_snr5db,44,full,854,0.8442622950819673,0.1875,0.3333333333333333,0.24,0.1690361427788058
retrained float32,clean,44,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,clean,44,test,171,0.9824561403508771,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8800909250936316
retrained float32,noise_snr30db,44,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,noise_snr30db,44,test,171,0.9532163742690059,0.631578947368421,0.9230769230769231,0.75,0.7411026943044773
retrained float32,noise_snr20db,44,test,171,0.9532163742690059,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6240864794142966
retrained int8,noise_snr20db,44,test,171,0.935672514619883,0.5416666666666666,1.0,0.7027027027027027,0.7098983703337624
retrained float32,noise_snr10db,44,test,171,0.9181286549707602,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.4172346640701071
retrained int8,noise_snr10db,44,test,171,0.8596491228070176,0.3225806451612903,0.7692307692307693,0.45454545454545453,0.43775438305900805
retrained float32,noise_snr5db,44,test,171,0.9005847953216374,0.3,0.23076923076923078,0.2608695652173913,0.21061321434926977
retrained int8,noise_snr5db,44,test,171,0.847953216374269,0.19047619047619047,0.3076923076923077,0.23529411764705882,0.16157952435324585
retrained float32,clean,45,full,854,0.977751756440281,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.8256130343122126
retrained int8,clean,45,full,854,0.9718969555035128,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.8338960793394703
retrained float32,noise_snr30db,45,full,854,0.9800936768149883,0.9791666666666666,0.746031746031746,0.8468468468468469,0.8452615373283964
retrained int8,noise_snr30db,45,full,854,0.9484777517564403,0.594059405940594,0.9523809523809523,0.7317073170731707,0.728965752833438
retrained float32,noise_snr20db,45,full,854,0.9578454332552693,0.7213114754098361,0.6984126984126984,0.7096774193548387,0.6870604328759733
retrained int8,noise_snr20db,45,full,854,0.9168618266978923,0.4666666666666667,0.8888888888888888,0.6120218579234973,0.6077426957787765
retrained float32,noise_snr10db,45,full,854,0.9180327868852459,0.4426229508196721,0.42857142857142855,0.43548387096774194,0.391363537714162
retrained int8,noise_snr10db,45,full,854,0.8583138173302107,0.27692307692307694,0.5714285714285714,0.37305699481865284,0.3293245449252757
retrained float32,noise_snr5db,45,full,854,0.8911007025761124,0.2413793103448276,0.2222222222222222,0.23140495867768596,0.17308270819762014
retrained int8,noise_snr5db,45,full,854,0.832552693208431,0.19230769230769232,0.3968253968253968,0.25906735751295334,0.1921570901488263
retrained float32,clean,45,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,clean,45,test,171,0.9824561403508771,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8800909250936316
retrained float32,noise_snr30db,45,test,171,0.9590643274853801,1.0,0.46153846153846156,0.631578947368421,0.6647992493663346
retrained int8,noise_snr30db,45,test,171,0.9649122807017544,0.6842105263157895,1.0,0.8125,0.8113124232385857
retrained float32,noise_snr20db,45,test,171,0.9532163742690059,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6240864794142966
retrained int8,noise_snr20db,45,test,171,0.9415204678362573,0.5652173913043478,1.0,0.7222222222222222,0.7276291216616805
retrained float32,noise_snr10db,45,test,171,0.9122807017543859,0.42857142857142855,0.46153846153846156,0.4444444444444444,0.3972175084379813
retrained int8,noise_snr10db,45,test,171,0.8713450292397661,0.3333333333333333,0.6923076923076923,0.45,0.42039069323212075
retrained float32,noise_snr5db,45,test,171,0.9005847953216374,0.3,0.23076923076923078,0.2608695652173913,0.21061321434926977
retrained int8,noise_snr5db,45,test,171,0.8362573099415205,0.2222222222222222,0.46153846153846156,0.3,0.23885834842734135
retrained float32,clean,46,full,854,0.977751756440281,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.8256130343122126
retrained int8,clean,46,full,854,0.9718969555035128,0.7294117647058823,0.9841269841269841,0.8378378378378378,0.8338960793394703
retrained float32,noise_snr30db,46,full,854,0.9812646370023419,0.9795918367346939,0.7619047619047619,0.8571428571428571,0.8549525348738684
