recording_id,original_id,filename,audio_path,label,class_id,split,source_library,source_label,samplerate,channels,date,guntype,caliber,distance,angle,suppressor,window_size,impulse_position
171236__alukahn__gunshot2_uid-fcn21d,fcn21d,171236__alukahn__gunshot2_uid-fcn21d.wav,audio/171236__alukahn__gunshot2_uid-fcn21d.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,48000,1,2026-04-11,,,,,,30000,10
371041__morganpurkis__single-gunshot-3_uid-1k053k,1k053k,371041__morganpurkis__single-gunshot-3_uid-1k053k.wav,audio/371041__morganpurkis__single-gunshot-3_uid-1k053k.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
384687__morganpurkis__single-gunshot-42_uid-u9d6r1,u9d6r1,384687__morganpurkis__single-gunshot-42_uid-u9d6r1.wav,audio/384687__morganpurkis__single-gunshot-42_uid-u9d6r1.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
384689__dobroide__20170318gunshotparadiso_uid-kwsehz,kwsehz,384689__dobroide__20170318gunshotparadiso_uid-kwsehz.wav,audio/384689__dobroide__20170318gunshotparadiso_uid-kwsehz.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
384689__dobroide__20170318gunshotparadiso_uid-pjl13d,pjl13d,384689__dobroide__20170318gunshotparadiso_uid-pjl13d.wav,audio/384689__dobroide__20170318gunshotparadiso_uid-pjl13d.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
402008__eardeer__gunshot__high_3_uid-4j4q67,4j4q67,402008__eardeer__gunshot__high_3_uid-4j4q67.wav,audio/402008__eardeer__gunshot__high_3_uid-4j4q67.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,48000,1,2026-04-11,,,,,,30000,10
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-6aezru,6aezru,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-6aezru.wav,audio/402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-6aezru.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-byjlki,byjlki,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-byjlki.wav,audio/402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-byjlki.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-garl1l,garl1l,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-garl1l.wav,audio/402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-garl1l.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-l3ibfo,l3ibfo,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-l3ibfo.wav,audio/402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-l3ibfo.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qe3eyz,qe3eyz,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qe3eyz.wav,audio/402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qe3eyz.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
405132__fstagi__gunshots_uid-xcyi0z,xcyi0z,405132__fstagi__gunshots_uid-xcyi0z.wav,audio/405132__fstagi__gunshots_uid-xcyi0z.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
51470__smcameron__synthetic_gunshot_2_uid-vatpwv,vatpwv,51470__smcameron__synthetic_gunshot_2_uid-vatpwv.wav,audio/51470__smcameron__synthetic_gunshot_2_uid-vatpwv.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
518181__bolkmar__fx-gunshot_uid-al1o0i,al1o0i,518181__bolkmar__fx-gunshot_uid-al1o0i.wav,audio/518181__bolkmar__fx-gunshot_uid-al1o0i.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,48000,1,2026-04-11,,,,,,30000,10
518181__bolkmar__fx-gunshot_uid-es96l9,es96l9,518181__bolkmar__fx-gunshot_uid-es96l9.wav,audio/518181__bolkmar__fx-gunshot_uid-es96l9.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,48000,1,2026-04-11,,,,,,30000,10
518181__bolkmar__fx-gunshot_uid-j3vsmz,j3vsmz,518181__bolkmar__fx-gunshot_uid-j3vsmz.wav,audio/518181__bolkmar__fx-gunshot_uid-j3vsmz.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,48000,1,2026-04-11,,,,,,30000,10
519623__nathanchurchyard__gunshots_uid-kvxx3q,kvxx3q,519623__nathanchurchyard__gunshots_uid-kvxx3q.wav,audio/519623__nathanchurchyard__gunshots_uid-kvxx3q.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-tmmoay,tmmoay,683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-tmmoay.wav,audio/683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-tmmoay.wav,other_gunshot,0,test,gunshots_nonDana.parquet,,44100,1,2026-04-11,,,,,,30000,10
Amusement_Park Ambiance -SoundBible_uid-2t9w3e,2t9w3e,Amusement_Park Ambiance -SoundBible_uid-2t9w3e.wav,audio/Amusement_Park Ambiance -SoundBible_uid-2t9w3e.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
