recording_id,split
221640__jakesapp23__gunshot-1_uid-t3t56m,test
370332__morganpurkis__single-gunshot-2-v2_uid-2shhwg,test
384689__dobroide__20170318gunshotparadiso_uid-8nfgas,test
402013__eardeer__gunshot__high_4_uid-dzkr28,test
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-t420qo,test
405132__fstagi__gunshots_uid-ux8qa6,test
518181__bolkmar__fx-gunshot_uid-es96l9,test
518181__bolkmar__fx-gunshot_uid-j3vsmz,test
518181__bolkmar__fx-gunshot_uid-mndnub,test
519623__nathanchurchyard__gunshots_uid-04snto,test
519623__nathanchurchyard__gunshots_uid-hkereq,test
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-lujshy,test
Baby_Talk_30 Sec-SoundBible_uid-nt49fb,test
Background_Noise-SoundBible_uid-9tt4fj,test
Background_Noise-SoundBible_uid-c2rszc,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-tl65kg,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-zc1ipd,test
Big_door_closed-Clemens_F-941522533_uid-n02it9,test
Car_Door_Close-SoundBible_uid-6bk4y1,test
Car_Door_Close-SoundBible_uid-9h2t6o,test
Citty_Traffic Ambiance-SoundBible_uid-oqpbd8,test
City_Ambiance-SoundBible_uid-ay65s0,test
Classroom_Ambiance-SoundBible_uid-ebc6mm,test
Classroom_Ambiance-SoundBible_uid-fvc0b8,test
Classroom_Ambiance-SoundBible_uid-ore0tv,test
Close_Vault_Or_Jail_Door-SoundBible_uid-1b3a8u,test
Dog_Barking-SoundBible_uid-77rxso,test
Dogs_Barking-SoundBible_uid-0ftva8,test
Dogs_Barking-SoundBible_uid-3elcfr,test
Dogs_Barking-SoundBible_uid-7p80fn,test
Dogs_Barking-SoundBible_uid-89py07,test
Dogs_Barking-SoundBible_uid-ibcp6w,test
Dogs_Barking-SoundBible_uid-n7k6p9,test
Dogs_Barking-SoundBible_uid-nzoaru,test
End_of_Game-Mike_Koenig-617089079_uid-1gc3kq,test
End_of_Game-Mike_Koenig-617089079_uid-foqzbk,test
End_of_Game-Mike_Koenig-617089079_uid-v2wwmb,test
Engine_Inside_Car-SoundBible_uid-as3jed,test
Footsteps_SoundBible_uid-dg95vk,test
Footsteps_SoundBible_uid-xbzr9w,test
Hockey_Game Ambiance-SoundBible_uid-xi7z7i,test
Indian_Bell-SoundBible_uid-t0u6xu,test
Large_Door_Slam-SoundBible_uid-u1l5bj,test
Large_Door_Slam-SoundBible_uid-y1fcj2,test
Little_Girl_Talking-Mike_Koenig-782373463_uid-embfqd,test
Little_Girl_Talking-Mike_Koenig-782373463_uid-k5273w,test
Mother_In_Law-SoundBible_uid-z92smn,test
Neighborhood_Dogs Barking-SoundBible_uid-6a1kho,test
Neighborhood_Dogs Barking-SoundBible_uid-6psl8n,test
Neighborhood_Dogs Barking-SoundBible_uid-dwmjp4,test
Neighborhood_Dogs Barking-SoundBible_uid-p7gr4b,test
Obama_Speech Liar-SoundBible_uid-8mnhtv,test
Obama_Speech Liar-SoundBible_uid-vfb2cc,test
Old_Door_Creaking-SoundBible_uid-vmd0mi,test
Person_Screaming No-SoundBible_uid-1cr947,test
Police_Siren_2-SoundBible_uid-v714xd,test
Psycho_Scream-SoundBible_uid-42a8md,test
Psycho_Scream-SoundBible_uid-b3cndq,test
Public_Transit_Bus-SoundBible_uid-a8fyah,test
Puppy_Dog Barking-SoundBible_uid-6ig5tz,test
Puppy_Dog Barking-SoundBible_uid-hhl2n0,test
Restaurant Walla Track-SoundBible_uid-fk59q6,test
Restaurant Walla Track-SoundBible_uid-l5x040,test
School_Fire_Alarm-Cullen_Card-202875844_uid-lasqeu,test
School_Fire_Alarm-Cullen_Card-202875844_uid-rgrj5b,test
Shift_Gears-SoundBible_uid-cvmuj8,test
Shift_Gears-SoundBible_uid-fssn70,test
Ship_Bell-Mike_Koenig-1911209136_uid-vns4ok,test
Ship_Brass_Bell-Mike_Koenig-1458750630_uid-htec95,test
Ship_Brass_Bell-Mike_Koenig-1458750630_uid-j371as,test
Ship_Brass_Bell-Mike_Koenig-1458750630_uid-ocdpn4,test
Ship_Brass_Bell-Mike_Koenig-1458750630_uid-oksrz0,test
Siren_SoundBible_uid-5w44d1,test
Sleigh_Bells_Ringing-SoundBible_uid-p7709t,test
Soldiers_Marching-SoundBible_uid-1x466i,test
Soldiers_Marching-SoundBible_uid-2cu62i,test
Soldiers_Marching-SoundBible_uid-51ygbj,test
Soldiers_Marching-SoundBible_uid-ab2cyl,test
Soldiers_Marching-SoundBible_uid-dnmjvo,test
Soldiers_Marching-SoundBible_uid-l0p0eu,test
Soldiers_Marching-SoundBible_uid-uoo654,test
Soldiers_Marching-SoundBible_uid-yq65as,test
Swimming_Pool Ambiance-SoundBible_uid-zihv6a,test
Walking-SoundBible_uid-2e4rgy,test
Walking-SoundBible_uid-i5mmd8,test
Walking_Away-SoundBible_uid-003e5q,test
Walking_Away-SoundBible_uid-6u9e73,test
Walking_In_Snow-SoundBible_uid-uorhbj,test
Walking_In_Snow-SoundBible_uid-zeh37h,test
Walking_On_Gravel-SoundBible_uid-8jmvir,test
Walking_On_Gravel-SoundBible_uid-qlbvo1,test
Walking_On_Gravel-SoundBible_uid-sx1vdx,test
Walking_On_Gravel_Bed-SoundBible_uid-6dat0n,test
Walking_On_Gravel_Bed-SoundBible_uid-6mi8l5,test
Walking_On_Gravel_Bed-SoundBible_uid-9x8ddo,test
Winston_Churchill Nazi Speech-SoundBible_uid-4s48dc,test
Winston_Churchill Nazi Speech-SoundBible_uid-7bmxdz,test
Winston_Churchill Nazi Speech-SoundBible_uid-kyjgqj,test
ambience_casino-stephan_schutze-1391090820_uid-6jx1mx,test
ambience_casino-stephan_schutze-1391090820_uid-c8911a,test
church_chime-daniel_simon (1)_uid-cvxr9s,test
church_chime-daniel_simon_uid-45onex,test
church_chime-daniel_simon_uid-ep1s6l,test
church_chime-daniel_simon_uid-ptobjb,test
doberman_pincher_daniel-simion (1)_uid-7ys55d,test
front_desk_bells-daniel_simon (1)_uid-x61vsc,test
german_shephard-daniel_simon (1)_uid-kwuogk,test
german_shephard-daniel_simon_uid-ku0s9t,test
labrador_barking-daniel_simon_uid-12led8,test
labrador_barking-daniel_simon_uid-8xft75,test
labrador_barking-daniel_simon_uid-knl4i5,test
labrador_barking-daniel_simon_uid-mwgdoo,test
labrador_barking-daniel_simon_uid-qqyt0q,test
muscle_car-daniel_simon (1)_uid-qmynaw,test
old_car-engine_daniel_simion_uid-xibx7i,test
railroad_crossing_bell-Brylon_Terry-1551570865 (1)_uid-mi9sxj,test
tolling_bell_daniel-simion_uid-witt3h,test
241008_1_uid-xaqkru,test
241008_2_uid-bo0vei,test
241008_5_uid-hlycay,test
241008_5_uid-hy37r6,test
241008_5_uid-sv5s9r,test
241008_6_uid-gdbsga,test
241008_6_uid-nmu1po,test
241009_4_uid-1jp830,test
